Word	POS	Verified	Category	Canonical Name	WNet SenseKey	WN30 Synset	KM30 Name	WN2.0 Synset	KM20 Name	WordNet gloss	WordNet example usage
acknowledgment	n	y		acknowledgment	acknowledgment%1:10:01::	106763681	reference_n2	106347853	reference_n2	a short note recognizing a source of information or of a quoted passage;	the student's essay failed to list several important citations; the acknowledgments are usually printed at the front of a book; the article includes mention of similar clinical cases
acne	n			acne	acne%1:26:00::	114222112	acne_n1	113414652	acne_n1	an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones	
acorn	n	okay	bpart	acorn	acorn%1:20:00::	112267677	acorn_n1	111519530	acorn_n1	fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base	
acoustic	adj				acoustic%3:01:00::	302868489	acoustical_a1	302734621	acoustical_a1	of or relating to the science of acoustics;	acoustic properties of a hall
acquire	v	okay	act		acquire%2:40:00::	202210855	get_v1	202147191	get_v1	come into the possession of something concrete or abstract;	She got a lot of paintings from her uncle; They acquired a new pet; Get your results the next day; Get permission to take a few days off from work
acre	n		uofm	acre	acre%1:23:00::	113613742	acre_n1	112847449	acre_n1	a unit of area (4840 square yards) used in English-speaking countries	
acrobat	n		human	acrobat	acrobat%1:18:00::	109764381	acrobat_n1	109145188	acrobat_n1	an athlete who performs acts requiring skill and agility and coordination	
acrosome	n		proc	acrosome	acrosome%1:08:00::	105457795	acrosome_n1	105144167	acrosome_n1	a process at the anterior end of a sperm cell that produces enzymes to facilitate penetration of the egg	
across	r	okay	dirn		across%4:02:01::	400272951	across_r1	400275614	across_r1	to the opposite side;	the football field was 300 feet across
act	v				act%2:41:00::	202367363	act_v1	202296591	act_v1	perform an action, or work out or perform (an action);	think before you act; We must move quickly; The governor should act on the new energy bill; The nanny acted quickly by grabbing the toddler and covering him with a wet towel
actin	n		subst	actin	actin%1:27:00::	114731334	actin_n1	113889865	actin_n1	one of the proteins into which actomyosin can be split; can exist in either a globular or a fibrous form	
action	n	okay	nom	action	action%1:04:02::	100037396	action_n1	100032816	action_n1	something done (usually as opposed to something said);	there were stories of murders and other unnatural actions
activate	v				activate%2:36:00::	201643657	spark_v1	201596973	spark_v1	put in motion or move to act;	trigger a reaction; actuate the circuits
